日付,会場,レース番号,レース名,重賞,コースタイプ,距離,回り,天候,馬場状態,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_1_last_3f,past_1_horse_weight,past_1_jockey,past_1_condition,past_1_odds,past_1_weather,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_2_last_3f,past_2_horse_weight,past_2_jockey,past_2_condition,past_2_odds,past_2_weather,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_3_last_3f,past_3_horse_weight,past_3_jockey,past_3_condition,past_3_odds,past_3_weather,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_4_last_3f,past_4_horse_weight,past_4_jockey,past_4_condition,past_4_odds,past_4_weather,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name,past_5_last_3f,past_5_horse_weight,past_5_jockey,past_5_condition,past_5_odds,past_5_weather,past_1_distance,past_1_course_type,past_2_distance,past_2_course_type,past_3_distance,past_3_course_type,past_4_distance,past_4_course_type,past_5_distance,past_5_course_type,コーナー 通過順,馬体重 (増減)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,1,6,11,ピッツァナポリ,牝3,55.0,大野 拓弥,1:12.2,,1.0,0.0,37.7,,新開 幸一,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,460(+2)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,2,2,3,グリューネベルグ,牝3,55.0,丹内 祐次,1:12.7,３,6.0,0.0,37.4,,青木 孝文,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,444(0)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,3,7,13,ロッキンミー,牝3,52.0,▲佐藤 翔馬,1:13.0,２,11.0,0.0,38.1,,杉浦 宏昭,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,436(0)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,4,5,10,ルックアトミー,牝3,55.0,菊沢 一樹,1:13.1,１／２,2.0,0.0,38.0,,菊沢 隆徳,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,494(+6)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,5,6,12,ダイチラポール,牡3,54.0,▲長浜 鴻緒,1:13.4,２,3.0,0.0,38.7,,蛯名 利弘,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,476(+2)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,6,1,2,ジルクン,牡3,53.0,★小林 美駒,1:13.5,クビ,7.0,0.0,37.0,,鈴木 慎太郎,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.0,414(+8)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,7,4,8,セイリオス,牝3,55.0,杉原 誠人,1:13.7,１ 1/4,14.0,0.0,37.8,,宮田 敬介,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,472(+6)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,8,2,4,タッカーバリアント,牡3,57.0,戸崎 圭太,1:13.7,クビ,4.0,0.0,38.7,,田島 俊明,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,466(+4)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,9,4,7,コナベイション,牡3,57.0,横山 武史,1:13.8,１／２,5.0,0.0,39.0,,伊藤 圭三,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,460(-4)
2025年1月5日,中山,1R,3歳未勝利,,,,,,,10,3,5,チャンピオンリボン,牝3,55.0,木幡 初也,1:14.0,１,13.0,0.0,38.2,,竹内 正洋,,202506010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,422(+8)
