馬名,horse_id,枠,馬 番,race_id,date,rank,着 順,weighted_avg_rank,weighted_avg_run_style,weighted_avg_last_3f,weighted_avg_horse_weight,weighted_avg_odds,weighted_avg_weather,weighted_avg_weight_change,weighted_avg_interval,weighted_avg_speed,turf_compatibility,dirt_compatibility,good_condition_avg,heavy_condition_avg,distance_compatibility,is_rest_comeback,interval_category,is_consecutive,jockey_compatibility,race_class,is_graded,age_limit,race_type_code,jra_compatibility,nar_compatibility,is_jra_transfer,age,course_type_code,distance_val,rotation_code,weather_code,condition_code,target_top3
アイアムアッパレ,2023102893,1,2,202506050403,2025年12月14日,16.0,16,16.7140334136685,7.428066827336999,39.01409228381251,482.85966586331506,100.0,1.571344471222833,0.0,168.8549562517937,16.0,10.0,10.0,17.4,10.0,10.0,1,4,0,10.0,2,0,2,1,10.0,19.4,0,2.0,1,2000,1,3,1,0
アイスブレイカー,2021103332,8,15,202506050107,2025年12月6日,6.0,6,9.118780453578012,3.3843685818980753,36.45111360643111,497.03178188131784,100.0,2.3330095519926077,2.9697661428306517,94.43648973680462,16.0,10.0,10.0,10.0,10.0,10.0,0,3,0,10.0,3,0,4,1,10.0,12.0,0,4.0,2,1200,1,2,1,0
アイファーグローブ,2019101330,8,12,202506050110,2025年12月6日,9.0,9,6.502868333430763,1.8423064436184067,38.67608030580642,466.6198684273172,100.0,2.2709619723955736,-1.0982684426120888,74.0258160591338,16.0,10.0,10.0,7.2,10.0,10.0,0,2,0,10.0,0,0,0,1,10.0,9.2,0,6.0,2,1800,1,1,1,0
アイファースキャン,2020101271,3,4,202506050310,2025年12月13日,12.0,12,10.428318753984012,3.486667746175165,36.65177339222237,493.7307635639048,100.0,1.9486409700945326,2.0522241183226786,260.5608292368738,16.0,10.0,10.0,10.0,10.0,10.0,1,4,0,10.0,0,0,0,1,10.0,12.0,0,5.0,2,1200,1,2,1,0
アオイミズホ,2023101814,4,7,202506050304,2025年12月13日,4.0,4,8.618917228556787,5.60811778272622,38.08511699792221,505.6270491455838,100.0,1.831337191881516,2.5719331726630017,90.42638871168508,16.0,10.0,10.0,12.6,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,14.6,0,2.0,2,1800,1,2,1,0
アカツキロットリー,2020100081,2,4,202506050107,2025年12月6日,8.0,8,10.718684774657223,2.703652863371777,41.16563261427942,481.68317246482366,100.0,1.6199474823462852,6.439522839977375,400.0859386621521,16.0,10.0,10.0,9.25,1.0,10.0,1,4,0,10.0,3,0,4,1,10.0,9.6,0,5.0,2,1200,1,2,1,0
アクアマーズ,2023107364,8,14,202506050103,2025年12月6日,6.0,6,7.410283537803572,4.659476812631687,36.03043972364175,482.7329941060823,100.0,2.428655528777167,1.7146221151086678,89.19641019320123,16.0,10.0,10.0,11.8,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,13.8,0,2.0,1,1600,1,1,1,0
アクシズ,2023105799,4,7,202506050205,2025年12月7日,9.0,9,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1200,1,1,1,0
アクロスメモリア,2023102399,4,5,202506050301,2025年12月13日,5.0,5,11.099520488679591,5.439454974607735,38.54963957109614,476.36649705304114,100.0,1.571344471222833,0.8573110575543339,89.73774046224922,16.0,10.0,10.0,14.25,11.0,10.0,0,3,0,10.0,2,0,2,1,10.0,15.6,0,2.0,2,1200,1,2,1,0
アグアフレスカ,2023103579,6,9,202506050305,2025年12月13日,10.0,10,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1800,1,1,1,0
アシャカトベ,2022107163,7,13,202506050208,2025年12月7日,1.0,1,3.193348374771964,2.088712087246705,36.47487487291466,522.7545929977433,100.0,1.428655528777167,1.0399708826347311,130.92637696202829,16.0,10.0,10.0,3.0,10.0,10.0,0,4,0,10.0,4,0,4,1,10.0,5.0,0,3.0,2,1200,1,1,1,1
アシャカルッカ,2023103233,7,13,202506050406,2025年12月14日,0.0,除外,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1200,1,2,1,0
アジャイブ,2023102676,6,11,202506050303,2025年12月13日,14.0,14,14.999411298559833,7.428066827336999,37.642394591725576,472.57193317266297,100.0,1.571344471222833,0.0,110.98645986687613,16.0,10.0,10.0,16.6,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,18.6,0,2.0,1,1600,1,2,1,0
アスクオンディープ,2019101612,5,5,202506050204,2025年12月7日,2.0,2,8.287825904278503,3.160311381675087,21.503871512850484,494.7010731996215,100.0,1.5199854413173657,-2.8176373101207717,65.07695142785202,16.0,10.0,10.0,11.6,10.0,10.0,0,2,0,10.0,2,0,4,1,10.0,13.6,0,6.0,3,2880,0,1,1,1
アズサ,2023101052,6,12,202506050202,2025年12月7日,15.0,15,17.571344471222833,7.428066827336999,38.156781226258175,474.28655528777165,100.0,2.0,0.0,130.27595866184865,16.0,10.0,10.0,17.8,10.0,10.0,0,4,0,10.0,2,0,2,1,10.0,19.8,0,2.0,1,1800,1,1,1,0
アタックエース,2023107463,6,11,202506050304,2025年12月13日,15.0,15,17.142688942445666,7.428066827336999,37.89958790899188,471.7146221151087,100.0,2.0,0.0,132.84789183451164,16.0,10.0,10.0,17.6,10.0,10.0,0,4,0,10.0,2,0,2,1,10.0,19.6,0,2.0,2,1800,1,2,1,0
アドアプローズ,2021107224,5,8,202506050404,2025年12月14日,13.0,13,6.997801070240352,3.7400072793413175,37.08256050816208,475.90741804139236,100.0,1.6886482494358497,1.9376246012121285,87.89850019264586,16.0,10.0,10.0,7.333333333333333,8.5,10.0,0,2,0,10.0,2,0,4,1,10.0,9.8,0,4.0,3,2880,0,3,1,0
アドマイヤウルトラ,2023106836,5,9,202506050303,2025年12月13日,5.0,5,9.362457279000191,3.489258274119139,38.95789918882451,488.132396499554,100.0,1.4690453069457434,1.7146221151086678,53.01742023010993,16.0,10.0,10.0,12.2,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,14.2,0,2.0,1,1600,1,2,1,0
アバットゥータ,2022101139,4,6,202506050404,2025年12月14日,5.0,5,10.297712915854216,3.7466604668338475,38.148487749415,473.08640657641627,100.0,1.8356532561258765,3.65165030863497,149.1861750372853,16.0,10.0,10.0,9.8,10.0,10.0,1,4,0,10.0,2,0,4,1,10.0,11.8,0,3.0,3,2880,0,3,1,0
アバレリュウ,2022100390,7,13,202506050212,2025年12月7日,16.0,16,2.1426889424456665,3.7466604668338475,38.15768605951631,489.94087393002303,100.0,1.3489855099507115,0.1543807740429654,141.13138307467582,16.0,10.0,10.0,2.5,3.0,10.0,1,4,0,10.0,3,0,4,1,10.0,4.6,0,3.0,2,1800,1,1,1,0
アベベ,2021109113,3,3,202506050312,2025年12月13日,10.0,10,11.123748672790276,3.366607949180133,39.027900911155,473.6075260155744,100.0,1.5863490851587603,-0.9268118847109619,136.67610414303374,16.0,10.0,10.0,13.5,1.0,10.0,0,4,0,10.0,4,0,4,1,9.0,19.0,1,4.0,2,1200,1,2,1,0
アマイ,2020100809,3,6,202506050311,2025年12月13日,5.0,5,9.321842968307744,1.3556386974432417,35.776747415676134,465.61997477969584,100.0,1.9003186610164045,2.124095159194068,106.39606157097349,16.0,10.0,10.0,8.5,1.0,10.0,0,3,0,10.0,0,0,0,1,10.0,9.0,0,5.0,1,1800,1,2,1,0
アミナス,2023101479,7,14,202506050304,2025年12月13日,8.0,8,12.322151196394719,4.659476812631687,38.15331690224647,506.66702002821853,100.0,1.571344471222833,0.8573110575543339,73.28751537136712,16.0,10.0,10.0,14.8,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,16.8,0,2.0,2,1800,1,2,1,0
アメテュストス,2023103814,1,1,202506050109,2025年12月6日,0.0,中止,4.513925499025415,3.489258274119139,36.329494300231175,445.5559071637662,100.0,1.3113517505641503,-1.5599563239520968,122.60587656454594,16.0,10.0,10.0,8.6,10.0,10.0,0,4,0,10.0,0,0,0,1,12.0,12.75,0,2.0,1,2000,1,2,1,0
アメリカンサクラ,2023110080,7,10,202506050203,2025年12月7日,12.0,12,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1800,1,1,1,0
アラビアンドリーム,2023102398,7,13,202506050306,2025年12月13日,2.0,2,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1800,1,1,1,1
アリアス,2023104857,4,7,202506050402,2025年12月14日,5.0,5,10.347536360627368,4.750806725171886,36.498426620827374,437.9568608757901,100.0,1.571344471222833,5.143866345326003,88.53575597768919,16.0,10.0,10.0,13.8,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,15.8,0,2.0,1,1200,1,3,1,0
アルケミラモリス,2023102074,6,11,202506050202,2025年12月7日,7.0,7,12.413481108934917,5.868110503384902,36.780219508463354,467.0627471771762,100.0,1.831337191881516,2.5719331726630017,75.96477547353224,16.0,10.0,10.0,15.0,10.0,10.0,0,2,0,8.0,2,0,2,1,10.0,17.0,0,2.0,1,1800,1,1,1,0
アルセナール,2021105548,6,12,202506050211,2025年12月7日,12.0,12,7.7979175562026315,2.1160244347959956,34.31659114298705,460.13978734939525,100.0,1.571344471222833,2.250979427636744,210.76130685916175,16.0,10.0,10.0,5.6,10.0,10.0,1,4,0,10.0,0,0,0,1,10.0,7.6,0,4.0,1,1200,1,1,1,0
アルティーノ,2023106062,8,16,202506050105,2025年12月6日,13.0,13,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,2000,1,1,1,0
アルデショワ,2022106648,7,10,202506050312,2025年12月13日,12.0,12,3.887904575024451,1.475698494438274,35.4960980620464,444.6767667921362,100.0,1.428655528777167,-0.6710818829542589,119.96332628079315,16.0,10.0,10.0,7.75,1.0,10.0,0,4,0,10.0,4,0,4,1,10.0,8.4,0,3.0,2,1200,1,2,1,0
アルデドゥオーモ,2021100361,8,11,202506050108,2025年12月6日,7.0,7,4.563581746219605,2.8463418058174432,13.398124072591038,494.05194773134565,100.0,1.4136509148412397,3.489380962879949,91.15999117231411,16.0,10.0,10.0,3.4,10.0,10.0,0,2,0,10.0,0,0,0,1,10.5,5.333333333333333,0,4.0,3,3570,0,2,1,0
アルバニクス,2023102921,5,9,202506050101,2025年12月6日,11.0,11,14.465428840280554,5.868110503384902,38.32058000866877,465.01079944583057,100.0,1.3113517505641503,-0.8573110575543339,129.20134453909688,16.0,10.0,10.0,15.8,10.0,10.0,1,4,0,10.0,2,0,2,1,10.0,17.8,0,2.0,2,1200,1,1,1,0
アンジェラス,2023105814,7,13,202506050205,2025年12月7日,5.0,5,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1200,1,1,1,0
アンタレス,2023100017,2,2,202506050306,2025年12月13日,11.0,11,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1800,1,1,1,0
アンドアイラヴハー,2021110003,1,2,202506050112,2025年12月6日,1.0,1,9.427260974152862,2.259992720658683,35.28909996994304,487.3845294322021,100.0,1.879940203004968,1.0954154575963702,139.18514795087611,16.0,10.0,10.0,8.4,10.0,10.0,0,4,0,10.0,4,0,4,1,10.0,10.4,0,4.0,1,1200,1,1,1,1
アンバサダネージュ,2023103216,3,5,202506050101,2025年12月6日,2.0,2,11.05018162702513,5.439454974607735,40.27752392208985,481.69302322344754,100.0,1.7400072793413173,3.4292442302173356,87.37646114859045,16.0,10.0,10.0,14.6,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,16.6,0,2.0,2,1200,1,1,1,1
アージェンタイド,2023102411,1,1,202506050103,2025年12月6日,15.0,15,12.750806725171886,5.868110503384902,38.340245692873005,442.27141019748564,100.0,2.0,2.5719331726630017,97.93818357686304,16.0,10.0,10.0,15.0,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,17.0,0,2.0,1,1600,1,1,1,0
アースヴィンチ,2023103789,6,10,202506050103,2025年12月6日,7.0,7,12.982805411906742,5.088132341408854,36.178702066479126,455.70704956996565,100.0,2.0,0.8573110575543339,82.93524006966221,16.0,10.0,10.0,14.4,10.0,10.0,0,1,1,10.0,2,0,2,1,10.0,16.4,0,2.0,1,1600,1,1,1,0
アームブランシュ,2020102925,4,7,202506050210,2025年12月7日,14.0,14,11.787638946442593,4.0,36.91058043171011,463.74207265614643,100.0,1.7842942262204087,1.4647654956532208,141.24881934467749,16.0,10.0,10.0,10.75,10.0,10.0,0,3,0,9.666666666666666,0,0,0,1,10.0,12.6,0,5.0,2,1800,1,1,1,0
イアム,2023104161,2,3,202506050202,2025年12月7日,13.0,13,17.142688942445666,7.428066827336999,38.24251233201361,444.28066827337,100.0,2.0,0.0,123.84612573019113,16.0,10.0,10.0,17.6,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,19.6,0,2.0,1,1800,1,1,1,0
イガッチ,2022100699,8,12,202506050409,2025年12月14日,1.0,1,2.6896195934580263,2.037633759386561,34.63481293771358,474.15734275490945,100.0,2.0442869468790916,2.007541993071866,116.19257225631567,16.0,10.0,10.0,3.4,10.0,10.0,0,2,0,10.0,0,0,0,1,10.0,5.4,0,3.0,1,1800,1,2,1,1
イサチルクイーン,2023102680,5,7,202506050102,2025年12月6日,3.0,3,12.856133654673998,6.999411298559832,39.614210024100544,463.14151153956533,100.0,1.571344471222833,0.0,132.84789183451164,16.0,10.0,10.0,15.6,10.0,10.0,0,4,0,10.0,2,0,2,1,10.0,17.6,0,2.0,2,1800,1,1,1,1
イチザペガサス,2023102554,2,4,202506050302,2025年12月13日,10.0,10,8.428248654557262,2.6394137347949975,38.69133817440282,450.2224301210455,100.0,1.153658194182557,-0.6137949856625371,88.17875981853119,16.0,10.0,10.0,9.2,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,11.2,0,2.0,2,1800,1,2,1,0
イッツソーブライト,2023106600,6,6,202506050206,2025年12月7日,6.0,6,16.285377884891332,7.428066827336999,39.52847891834511,506.00706441728204,100.0,1.571344471222833,0.0,106.27124905032728,16.0,10.0,10.0,17.2,10.0,10.0,0,1,1,10.0,3,0,2,1,10.0,19.2,0,2.0,2,1200,1,1,1,0
イッテラッシャイ,2023103142,5,10,202506050302,2025年12月13日,1.0,1,11.570167068342498,7.428066827336999,38.24251233201361,476.00117740288033,100.0,2.428655528777167,0.0,126.41805890285413,16.0,10.0,10.0,15.0,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,17.0,0,2.0,2,1800,1,2,1,1
イッテルビウム,2023102275,2,3,202506050205,2025年12月7日,16.0,16,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1200,1,1,1,0
イデアクリスタル,2023102033,2,2,202506050102,2025年12月6日,4.0,4,13.284789183451165,7.428066827336999,37.6852601446033,474.28655528777165,100.0,1.571344471222833,0.0,111.4151153956533,16.0,10.0,10.0,15.8,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,17.8,0,2.0,2,1800,1,1,1,0
イバラヒメ,2023101298,7,13,202506050103,2025年12月6日,10.0,10,14.570755769782666,7.428066827336999,37.51379793309243,463.99882259711967,100.0,1.571344471222833,0.0,117.8449483273108,16.0,10.0,10.0,16.4,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,18.4,0,2.0,1,1600,1,1,1,0
イモータリス,2023107032,5,10,202506050105,2025年12月6日,2.0,2,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,2000,1,1,1,1
イルダメリーノ,2023101843,1,2,202506050106,2025年12月6日,4.0,4,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1200,1,1,1,0
インスウィング,2023101444,6,11,202506050306,2025年12月13日,9.0,9,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1800,1,1,1,0
イントゥゴールデン,2023104288,1,1,202506050104,2025年12月6日,14.0,14,8.419278163612553,4.0756073592779,39.51657067927888,458.6492616563994,100.0,1.153658194182557,-2.0519477313456362,119.09403359752197,16.0,10.0,10.0,12.75,6.0,10.0,1,4,0,10.0,2,0,2,1,10.0,13.4,0,2.0,2,1800,1,1,1,0
イーガービーバー,2023100234,2,4,202506050201,2025年12月7日,8.0,8,12.504811021475117,5.868110503384902,38.34231031518851,461.8908867979264,100.0,1.7400072793413173,4.2865552877716695,111.98443969862511,16.0,10.0,10.0,15.2,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,17.2,0,2.0,2,1200,1,1,1,0
イージーオンミー,2020101143,5,10,202506050210,2025年12月7日,4.0,4,4.7223848401118955,3.3180049380566805,37.57099921615788,445.8514076504982,100.0,1.7466604668338477,-2.2664411954233366,101.37933922375645,16.0,10.0,10.0,5.2,10.0,10.0,0,3,0,10.0,0,0,0,1,10.0,7.2,0,5.0,2,1800,1,1,1,0
ウィステリアリヴァ,2020104708,3,6,202506050210,2025年12月7日,2.0,2,8.139869470135917,2.3706433113791694,36.0933716568308,499.9817429915416,100.0,2.106334526476126,2.490704357730861,148.4779780241574,16.0,10.0,10.0,7.25,8.0,10.0,0,4,0,5.25,0,0,0,1,10.0,9.4,0,5.0,2,1800,1,1,1,1
ウインアイルグロウ,2023105852,5,6,202506050305,2025年12月13日,12.0,12,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1800,1,1,1,0
ウインデイブレイク,2023105886,2,2,202506050305,2025年12月13日,13.0,13,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,1,1800,1,1,1,0
ウインビギニング,2023100291,7,13,202506050302,2025年12月13日,3.0,3,8.267594595357906,4.490814004513203,37.99238738368582,492.19140977310377,100.0,2.168662808118484,4.2865552877716695,94.98693373707734,16.0,10.0,10.0,12.2,10.0,10.0,0,3,0,10.0,2,0,2,1,10.0,14.2,0,2.0,2,1800,1,2,1,1
ウインモナーク,2019100214,6,11,202506050211,2025年12月7日,6.0,6,10.197052852068541,2.7842942262204087,34.40862960057431,496.0238811915181,100.0,1.5199854413173657,-1.6610080826957214,204.1231776715981,16.0,10.0,10.0,8.2,10.0,10.0,1,4,0,10.0,0,0,0,1,14.333333333333334,9.0,0,6.0,1,1200,1,1,1,0
ウォルラス,2020106687,1,1,202506050208,2025年12月7日,9.0,9,10.856244322120869,3.7466604668338475,36.55153570626099,506.9891459594705,100.0,1.702373519954756,-1.2218021977155091,117.66472515694939,16.0,10.0,10.0,9.5,10.0,10.0,0,3,0,10.0,4,0,4,1,10.0,11.6,0,5.0,2,1200,1,1,1,0
エイチエヌライ,2023102945,8,15,202506050106,2025年12月6日,14.0,14,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,1,0,2,1,10.0,20.0,0,2.0,2,1200,1,1,1,0
エイチエヌライ,2023102945,4,7,202506050303,2025年12月13日,16.0,16,16.285377884891332,7.428066827336999,39.614210024100544,450.2818456762503,100.0,1.571344471222833,0.0,105.84259352155011,16.0,10.0,10.0,17.2,10.0,10.0,0,1,1,10.0,2,0,2,1,10.0,19.2,0,2.0,1,1600,1,2,1,0
エクストラダーク,2023101892,8,17,202506050403,2025年12月14日,10.0,10,11.998822597119664,6.999411298559832,37.6852601446033,454.568400964022,100.0,1.571344471222833,0.0,111.4151153956533,16.0,10.0,10.0,15.2,10.0,10.0,0,2,0,10.0,2,0,2,1,10.0,17.2,0,2.0,1,2000,1,3,1,0
エクリプスルバン,2021106623,3,5,202506050308,2025年12月13日,0.0,中止,3.9368946405718175,2.0,38.259227778419955,446.0909112456985,100.0,1.509296891625799,-8.054506418179677,437.50437766172496,16.0,10.0,10.0,4.0,1.0,10.0,1,4,0,10.0,4,0,4,1,10.0,5.4,0,4.0,2,1800,1,2,1,0
エコロエイト,2021110104,1,1,202506050310,2025年12月13日,15.0,15,5.779057000811007,2.3357655707746234,37.37991929183203,506.234607556426,100.0,1.524301505561726,1.8413942380556825,139.79721587422034,16.0,10.0,10.0,7.25,1.0,10.0,0,4,0,10.0,0,0,0,1,10.0,8.0,0,4.0,2,1200,1,2,1,0
エコロセレナ,2023107403,2,2,202506050103,2025年12月6日,9.0,9,10.607529081286051,4.062158475736036,36.7970857892752,471.03997088263475,100.0,2.0,-1.7146221151086678,77.99537837714723,16.0,10.0,10.0,14.0,10.0,10.0,0,1,1,10.0,2,0,2,1,10.0,16.0,0,2.0,1,1600,1,1,1,0
