馬名,horse_id,枠,馬 番,race_id,date,rank,着 順,weighted_avg_rank,weighted_avg_run_style,weighted_avg_last_3f,weighted_avg_horse_weight,weighted_avg_odds,weighted_avg_weather,weighted_avg_weight_change,weighted_avg_interval,weighted_avg_speed,turf_compatibility,dirt_compatibility,good_condition_avg,heavy_condition_avg,distance_compatibility,is_rest_comeback,interval_category,is_consecutive,jockey_compatibility,race_class,is_graded,age_limit,age,course_type_code,distance_val,rotation_code,weather_code,condition_code,target_top3
アアモンドクロコ,0.0,2,2,202565120102,2025年12月1日,4.0,4,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,0,0,2,2.0,0,1600.0,0,2,1,0
アイアムイブシギン,2021102897.0,8,14,202544120106,2025年12月1日,8.0,8,6.031209516259806,2.153658194182557,41.464002867323806,492.2804229363497,100.0,1.095645976784559,-0.8306375943023461,50.54623912028949,15.386367123744977,10.0,5.4,5.4,10.0,5.0,0,2,0,5.0,0,0,0,4.0,2,1600.0,1,1,1,0
アイアンバイブル,2022103471.0,8,13,202544120402,2025年12月4日,2.0,2,7.3458513923471,3.5556219179605333,38.70887571990272,505.92810660093716,100.0,1.7400072793413173,-0.013997016961913022,102.16872473395757,15.82718577792993,10.0,4.666666666666667,10.0,10.0,4.666666666666667,0,2,0,8.0,0,0,3,3.0,2,1200.0,1,1,1,1
アイアンムーン,2020101034.0,7,10,202550120405,2025年12月4日,8.0,8,4.909668728831498,3.0,40.2097589927026,428.0456254287556,100.0,1.2157057737795913,-1.316453848196653,175.17577457041895,15.121111824031438,10.0,3.8,3.8,10.0,3.8,1,4,0,10.0,0,0,0,5.0,2,1230.0,1,1,1,0
アイサイト,2022104886.0,3,4,202544120308,2025年12月3日,12.0,12,7.648175101169922,2.1332797361711204,36.91904160977318,445.989252311849,100.0,1.6819950619433193,2.0005614040906488,168.3204440815474,16.50658929031721,9.75,5.0,8.8,10.0,7.0,0,4,0,5.0,0,0,0,3.0,2,1200.0,1,2,1,0
アイスフィールド,2022103330.0,5,5,202546120106,2025年12月1日,3.0,3,6.261600208732295,3.0,39.195752714967334,448.7833660097412,100.0,1.513332253824835,-0.5318668986169807,39.82936895291067,15.26113303005928,10.0,7.6,7.6,10.0,7.6,0,2,0,3.0,0,0,0,3.0,2,1500.0,1,2,1,1
アイスラリマー,2019103124.0,5,10,202544120112,2025年12月1日,6.0,6,18.0,9.999999999999998,39.99999999999999,470.0,100.0,2.0,0.0,180.00000000000003,16.0,10.0,10.0,18.0,10.0,10.0,1,4,0,10.0,0,0,0,6.0,2,1800.0,1,1,1,0
アイスリーディング,2022106995.0,4,6,202544120209,2025年12月2日,1.0,1,8.069289468529734,3.3180049380566805,39.16343498954794,433.8500263665444,100.0,1.7440426415403534,1.6267824970590778,101.45971647988392,15.554434243143511,10.0,6.2,6.5,5.0,4.0,0,4,0,10.0,0,0,0,3.0,2,1400.0,1,2,1,1
アイソタイプ,2021105306.0,7,11,202544120508,2025年12月5日,3.0,3,7.22896934668742,1.4716631322392375,40.68280813139452,500.1877892200625,100.0,1.3180049380566807,1.4076685495295689,51.999281171927606,15.312068864928321,10.0,6.2,6.2,10.0,6.2,0,2,0,6.2,0,0,0,4.0,2,1600.0,1,1,1,1
アイディンエース,2021107128.0,7,9,202536120107,2025年12月1日,9.0,9,6.498275882209359,2.941987782602002,38.27315187197561,475.15580536626265,100.0,1.7466604668338477,0.5476470155163182,59.110101089207355,15.879456964834555,11.0,4.75,6.0,10.0,6.0,0,1,1,6.0,0,0,0,4.0,2,1400.0,1,2,1,0
アイドルショー,2023100981.0,1,1,202544120304,2025年12月3日,5.0,5,8.358924507898104,4.23082128385452,40.78071294305292,461.99621372742854,100.0,1.7400072793413173,-0.42865552877716695,75.27612722409638,15.686557628390991,10.0,4.0,14.5,4.0,4.0,0,2,0,4.0,0,0,2,2.0,2,1200.0,1,2,1,0
アイドルフェスタ,2022103246.0,8,9,202536120210,2025年12月2日,10.0,10,3.832064086810206,1.428655528777167,37.43054332610196,467.120146232804,100.0,1.6819950619433193,-0.6000513733964279,24.517988387266104,16.41195298656426,10.0,3.0,3.5,1.0,5.0,0,2,0,3.0,0,0,0,3.0,2,1400.0,1,2,1,0
アイノサンカ,2022102440.0,6,6,202536120101,2025年12月1日,6.0,6,7.703064161931609,2.7666717869909876,37.914785704484174,421.9322978742821,100.0,1.7400072793413173,0.3339808960147844,18.57274232025089,15.922457959237889,10.0,8.6,8.25,10.0,8.5,0,1,1,8.5,0,0,0,3.0,2,850.0,1,2,1,0
アイファーモービル,2022101117.0,2,2,202550120310,2025年12月3日,1.0,1,1.6899002955033504,3.153658194182557,38.33009077467398,468.40463182870224,100.0,1.0,1.0243623879966783,46.350376941771884,15.476499468488571,10.0,2.6,2.6,10.0,2.6,0,2,0,1.0,0,0,0,3.0,2,1230.0,1,2,1,1
アイベット,2022101163.0,8,8,202547120311,2025年12月3日,9.0,9,8.848959631110937,3.1643467438741237,42.212658670269896,463.66840798491296,100.0,1.2157057737795913,-0.6656593469108225,28.59209483954111,14.687099707466947,10.0,8.6,8.6,10.0,8.6,0,1,1,8.5,0,0,0,3.0,2,1400.0,1,2,1,0
