日付,会場,レース番号,レース名,重賞,着 順,枠,馬 番,馬名,性齢,斤量,騎手,タイム,着差,人 気,単勝 オッズ,後3F,コーナー 通過順,厩舎,馬体重 (増減),race_id,horse_id,past_1_date,past_1_rank,past_1_time,past_1_run_style,past_1_race_name,past_2_date,past_2_rank,past_2_time,past_2_run_style,past_2_race_name,past_3_date,past_3_rank,past_3_time,past_3_run_style,past_3_race_name,past_4_date,past_4_rank,past_4_time,past_4_run_style,past_4_race_name,past_5_date,past_5_rank,past_5_time,past_5_run_style,past_5_race_name
2023年12月24日,中山,11R,有馬記念,G1,1,3,5,ドウデュース,牡4,58.0,武豊,2:30.9,,2,5.2,34.3,13-13-8-3,栗東 友道,506(+2),202306050811,2019105283,2023/11/26,,2:22.7,3,ジャパンC(GI),2023/10/29,,1:56.6,2,天皇賞(秋)(GI),2023/03/25,,,3,ドバイターフ(GI),2023/02/12,,2:10.9,4,京都記念(GII),2022/10/02,,,3,凱旋門賞(GI)
2023年12月24日,中山,11R,有馬記念,G1,2,8,16,スターズオンアース,牝4,56.0,ルメー,2:31.0,1/2,7,8.6,34.8,2-2-2-2,美浦 高柳瑞,494(-2),202306050811,2019104740,2023/11/26,,2:22.6,2,ジャパンC(GI),2023/05/14,,1:32.3,3,ヴィクトリアマイル(GI),2023/04/02,,1:57.4,4,大阪杯(GI),2022/10/16,,1:58.7,4,秋華賞(GI),2022/05/22,,2:23.9,3,優駿牝馬(GI)
2023年12月24日,中山,11R,有馬記念,G1,3,2,4,タイトルホルダー,牡5,58.0,横山和,2:31.2,1,6,8.3,36.2,1-1-1-1,美浦 栗田,474(-2),202306050811,2018103559,2023/11/26,,2:23.1,2,ジャパンC(GI),2023/09/24,,2:12.2,1,産経賞オールカマー(GII),2023/04/30,,,1,天皇賞(春)(GI),2023/03/25,,2:36.8,2,日経賞(GII),2022/12/25,,2:34.1,1,有馬記念(GI)
2023年12月24日,中山,11R,有馬記念,G1,4,5,10,ジャスティンパレス,牡4,58.0,横山武,2:31.2,アタマ,1,3.6,34.4,16-16-12-9,栗東 杉山晴,474(+6),202306050811,2019105346,2023/10/29,,1:55.6,4,天皇賞(秋)(GI),2023/06/25,,2:11.4,4,宝塚記念(GI),2023/04/30,,3:16.1,3,天皇賞(春)(GI),2023/03/19,,3:06.1,2,阪神大賞典(GII),2022/12/25,,2:33.5,2,有馬記念(GI)
2023年12月24日,中山,11R,有馬記念,G1,5,1,2,シャフリヤール,牡5,58.0,松山,2:31.2,クビ,8,44.6,34.8,4-4-5-6,栗東 藤原,454,202306050811,2018105165,2023/11/04,,,3,BCターフ(GI),2023/08/20,,2:04.8,3,札幌記念(GII),2023/03/25,,,3,ドバイシーマC(GI),2022/11/27,,2:23.8,4,ジャパンC(GI),2022/10/30,,1:58.1,3,天皇賞(秋)(GI)
2023年12月24日,中山,11R,有馬記念,G1,6,7,13,タスティエーラ,牡3,56.0,ムーア,2:31.5,1.1/2,5,7.1,34.9,9-9-8-9,美浦 堀,498(+18),202306050811,2020103532,2023/10/22,,3:03.7,3,菊花賞(GI),2023/05/28,,2:25.2,2,東京優駿(GI),2023/04/16,,2:00.8,3,皐月賞(GI),2023/03/05,,2:00.4,2,報知弥生ディープ記念(GII),2023/02/12,,1:47.2,2,共同通信杯(GIII)
2023年12月24日,中山,11R,有馬記念,G1,7,6,12,ウインマリリン,牝6,56.0,モリス,2:31.6,3/4,14,171.9,35.2,6-6-5-6,美浦 手塚,476,202306050811,2017101431,2023/11/04,,,3,BCF&Mターフ(GI),2023/09/24,,2:12.8,2,産経賞オールカマー(GII),2023/08/20,,2:04.0,2,札幌記念(GII),2023/03/25,,,3,ドバイシーマC(GI),2022/12/11,,2:27.53,3,香港ヴァーズ(GI)
2023年12月24日,中山,11R,有馬記念,G1,8,1,1,ソールオリエンス,牡3,56.0,川田,2:31.6,アタマ,4,6.5,34.8,10-10-12-12,美浦 手塚,466(+2),202306050811,2020102899,2023/10/22,,3:04.0,4,菊花賞(GI),2023/09/18,,2:11.7,4,朝日セントライト記念(GII),2023/05/28,,2:25.2,3,東京優駿(GI),2023/04/16,,2:00.6,4,皐月賞(GI),2023/01/15,,2:02.2,3,京成杯(GIII)
2023年12月24日,中山,11R,有馬記念,G1,9,6,11,ハーパー,牝3,54.0,岩田望,2:31.6,クビ,11,93.2,35.3,5-5-2-3,栗東 友道,474(-10),202306050811,2020103458,2023/11/12,,2:12.8,2,エリザベス女王杯(GI),2023/10/15,,2:01.6,2,秋華賞(GI),2023/05/21,,2:24.1,3,優駿牝馬(GI),2023/04/09,,1:32.6,3,桜花賞(GI),2023/02/11,,1:33.1,3,デイリー杯クイーンC(GIII)
2023年12月24日,中山,11R,有馬記念,G1,10,2,3,ホウオウエミーズ,牝6,56.0,田辺,2:31.7,クビ,16,193.2,34.7,14-13-16-16,美浦 池上,452(+2),202306050811,2017104691,2023/11/12,,2:00.9,4,福島記念(GIII),2023/10/22,,2:15.0,3,新潟牝馬S(L),2023/07/09,,2:00.0,3,七夕賞(GIII),2023/06/18,,1:58.9,4,マーメイドS(GIII),2023/04/22,,1:48.5,4,福島牝馬S(GIII)
