枠,馬番,馬名,予想印,年齢,AIスコア(%),信頼度,現在オッズ,騎手適性度,コース適性度,距離適性度,平均着順,前走着順,前々走着順,複勝下限
1,1,ナチュラルライズ,,牡3,27,41,5.5,5,9.5,9.5,18,,,0
1,2,パッションクライ,,牡4,28,27,384.5,5,9.5,5,18,,,0
2,3,ナルカミ,,牡3,34,64,5.1,5,9.5,9.5,9.5,1,,0
2,4,バハルダール,,セ6,21,42,471.8,5,7.5,5,18,,,0
3,5,ベルグラシアス,,牝3,41,33,498.5,5,8.083333333333334,7,18,,,0
3,6,ナンセイホワイト,,牡5,25,38,407.9,5,9.2,5,18,,,0
4,7,ヒーローコール,,牡5,41,34,416.9,5,7.25,7.166666666666666,18,,,0
4,8,キングズソード,,牡6,33,29,42.8,5,5,5,18,,,0
5,9,アラジンバローズ,,セ8,51,85,0,5,8.625,5,12,6,,0
5,10,ディクテオン,,セ7,29,25,77.3,5,8.25,8.25,18,,,0
6,11,シーソーゲーム,,牡3,29,65,249.7,5,9.125,8.5,10.5,3,,0
6,12,ホウオウルーレット,,牡6,32,31,16.2,5,5,5,18,,,0
7,13,ミッキーファイト,,牡4,41,31,1.4,5,9.5,9.5,18,,,0
7,14,ナイトオブファイア,,牡3,40,73,293.1,5,8.666666666666666,8.75,9.5,1,,0
8,15,アウトレンジ,,牡5,30,26,12.1,5,8,8,18,,,0
8,16,グランブリッジ,,牝6,35,27,165.4,5,8.375,8,18,,,0
