枠,馬番,馬名,予想印,年齢,AIスコア(%),信頼度,現在オッズ,騎手適性度,コース適性度,距離適性度,平均着順,前走着順,前々走着順,複勝下限
8,16,グランブリッジ,,牝6,60,95,165.4,5,8.375,8,4.890000000000001,4,7,0
4,8,キングズソード,,牡6,58,92,42.8,5,5,5,3.65,4,4,0
8,15,アウトレンジ,,牡5,56,80,12.1,5,8,8,4.83,5,7,0
5,9,アラジンバローズ,,セ8,51,85,0,5,8.625,5,12,6,,0
2,3,ナルカミ,,牡3,50,71,5.1,5,9.5,9.5,9.5,1,,0
6,12,ホウオウルーレット,,牡6,50,82,16.2,5,5,5,1.93,1,1,0
5,10,ディクテオン,,セ7,46,72,77.3,5,8.25,8.25,2.24,1,4,0
7,13,ミッキーファイト,,牡4,42,70,1.4,5,9.5,9.5,1.1600000000000001,1,1,0
3,5,ベルグラシアス,,牝3,41,73,498.5,5,8.083333333333334,7,8.99,11,8,0
4,7,ヒーローコール,,牡5,41,74,416.9,5,7.25,7.166666666666666,9.28,10,8,0
3,6,ナンセイホワイト,,牡5,39,72,407.9,5,9.2,5,3.18,2.0,6,0
7,14,ナイトオブファイア,,牡3,37,69,293.1,5,8.666666666666666,8.75,9.5,1,,0
1,1,ナチュラルライズ,,牡3,34,72,5.5,5,9.5,9.5,1.6199999999999999,2,1,0
6,11,シーソーゲーム,,牡3,31,63,249.7,5,9.125,8.5,10.5,3,,0
1,2,パッションクライ,,牡4,28,67,384.5,5,9.5,5,1.8199999999999998,2,1,0
2,4,バハルダール,,セ6,17,87,471.8,5,7.5,5,7.7700000000000005,5,9,0
